id,movie_id,keyword_id
133,209112,9748
134,209112,163455
135,209112,195242
136,209112,195243
137,209112,229266
138,1452,83
139,1452,849
140,1452,8872
141,1452,9663
142,1452,9715
143,1452,9717
144,1452,163420
145,1452,163455
146,1452,179102
147,1452,202526
148,10764,627
149,10764,1568
150,10764,4289
151,10764,156095
152,58,616
153,58,663
154,58,910
155,58,911
156,58,1299
157,58,1316
158,58,1317
159,58,1319
160,58,1461
161,58,3799
162,58,5600
163,58,12988
164,58,157186
165,58,179430
166,57201,1556
167,57201,2673
168,57201,5385
169,57201,5901
170,57201,9104
171,57201,9503
172,57201,10685
173,57201,10909
174,57201,13008
175,57201,178867
176,57201,179419
177,57201,222787
178,57201,228232
179,49521,83
180,49521,849
181,49521,9715
182,49521,9717
183,49521,10761
184,49521,14909
185,49521,161184
186,49521,163455
187,49521,229266
188,2454,818
189,2454,855
190,2454,1155
191,2454,2043
192,2454,3714
193,2454,4391
194,2454,4820
195,2454,5144
196,2454,6150
197,2454,6464
198,2454,166930
199,2454,170362
200,24428,242
201,24428,5539
202,24428,8828
203,24428,9715
204,24428,9717
205,24428,14909
206,24428,155030
207,24428,179430
208,24428,179431
209,24428,180547
210,1865,658
211,1865,1316
212,1865,1860
213,1865,1938
214,1865,2569
215,1865,3180
216,1865,3625
217,1865,3799
218,1865,4235
219,1865,5938
220,1865,12988
221,1865,13065
222,1865,14643
223,1865,157186
224,1865,179430
225,1865,209714
226,41154,4379
227,41154,5455
228,41154,9951
229,41154,174915
230,41154,185668
231,41154,208756
232,122917,417
233,122917,603
234,122917,604
235,122917,606
236,122917,609
237,122917,611
238,122917,12554
239,122917,14643
240,122917,167982
241,122917,188270
242,122917,234213
243,1930,1872
244,1930,7002
245,1930,8803
246,1930,8828
247,1930,156855
248,1930,158124
249,1930,158456
250,1930,161184
251,1930,163455
252,1930,163561
253,1930,171556
254,1930,179431
255,20662,4147
256,20662,4393
257,20662,10466
258,20662,11525
259,20662,18101
260,20662,41406
261,20662,161257
262,20662,186686
263,57158,603
264,57158,604
265,57158,606
266,57158,611
267,57158,12554
268,57158,177912
269,57158,234213
270,2268,392
271,2268,1461
272,2268,1706
273,2268,2596
274,2268,6464
275,2268,6678
276,2268,13014
277,2268,18165
278,2268,223438
279,254,774
280,254,776
281,254,837
282,254,886
283,254,887
284,254,911
285,254,1299
286,254,1551
287,254,3799
288,254,12616
289,597,2580
290,597,2984
291,597,3799
292,597,4210
293,597,4388
294,597,4953
295,597,6917
296,597,7579
297,597,9673
298,597,10617
299,597,10703
300,597,14514
301,597,156395
302,597,165086
303,597,182615
304,597,182621
305,597,182625
306,597,209714
307,597,210184
308,271110,393
309,271110,6091
310,271110,8828
311,271110,9663
312,271110,9715
313,271110,9717
314,271110,156395
315,271110,179430
316,271110,179431
317,271110,180547
318,271110,209714
319,44833,1721
320,44833,4410
321,44833,11265
322,44833,12354
323,44833,13042
324,44833,14760
325,44833,14946
326,44833,160855
327,44833,160856
328,44833,160860
329,44833,160861
330,44833,160865
331,44833,160866
332,44833,160868
333,44833,160873
334,44833,160875
335,44833,160876
336,44833,160879
337,44833,160880
338,44833,160881
339,44833,160884
340,44833,160885
341,44833,160887
342,44833,179430
343,44833,227328
