id,from_movie_id,to_movie_id,sim_cos
110,10212,43884,0.09348129
111,10212,121,0.09017666
112,10215,23629,0.10443596
113,10215,8831,0.095190585
114,10215,22007,0.08085696
115,10215,1499,0.07425881
116,10215,11858,0.07412993
117,10215,32579,0.06889323
118,10215,89750,0.06829926
119,10215,10871,0.065530576
120,10285,10283,0.20934224
121,10285,9730,0.17629261
122,10285,10225,0.1541413
123,10285,14624,0.13278069
124,10285,9728,0.12791488
125,10285,10281,0.12520704
126,10285,9725,0.12433321
127,10285,948,0.11714489
128,10331,13025,0.20060551
129,10331,82654,0.18527533
130,10331,11683,0.1771137
131,10331,106845,0.16580798
132,10331,312793,0.16264294
133,10331,8408,0.16205631
134,10331,139715,0.14208992
135,10331,29426,0.13888867
136,10388,12183,0.1712503
137,10388,9303,0.09471072
138,10388,10994,0.08603234
139,10388,366967,0.08295531
140,10388,2155,0.07906206
141,10388,9469,0.0664944
142,10388,9618,0.06540373
143,10388,171274,0.06510343
144,10436,57943,0.17338593
145,10436,22215,0.16582154
146,10436,96724,0.15276311
147,10436,1955,0.15041806
148,10436,205587,0.13611054
149,10436,2135,0.13259147
150,10436,58882,0.13244249
151,10436,9095,0.13041301
152,10476,10060,0.25820187
153,10476,21525,0.21854322
154,10476,650,0.21194074
155,10476,6575,0.18932068
156,10476,14114,0.17396674
157,10476,21724,0.17224148
158,10476,8998,0.1525777
159,10476,37964,0.14084966
160,10480,37165,0.16786167
161,10480,11374,0.13147302
162,10480,27686,0.09497817
163,10480,15800,0.093277335
164,10480,14033,0.08556264
165,10480,315664,0.08276202
166,10480,55903,0.07561823
167,10480,837,0.07452514
168,10481,10994,0.13241918
169,10481,11458,0.12218901
170,10481,394047,0.105933666
171,10481,9469,0.10300301
172,10481,12088,0.09849966
173,10481,10398,0.09726482
174,10481,10992,0.09472461
175,10481,107846,0.089913
176,104896,21765,0.08832581
177,104896,28178,0.083416775
178,104896,23069,0.068332046
179,104896,15067,0.06363638
180,104896,66125,0.06182357
181,104896,13053,0.060832
182,104896,10034,0.05733794
183,104896,19419,0.05633533
184,10514,1091,0.10487581
185,10514,8665,0.10413779
186,10514,935,0.0893096
187,10514,5551,0.0849231
188,10514,11411,0.08380955
189,10514,299687,0.08292526
190,10514,4858,0.07707259
